Lemma,LexEntity
Kalendae,urn:cite:perseus:latlexent.lex4239.1
ab,urn:cite:perseus:latlexent.lex9104.1
abeo,urn:cite:perseus:latlexent.lex9147.1
abnepos,urn:cite:perseus:latlexent.lex9223.1
absolvo,urn:cite:perseus:latlexent.lex9315.1
accedo,urn:cite:perseus:latlexent.lex9398.1
accendo,urn:cite:perseus:latlexent.lex9403.1
accenseo,urn:cite:perseus:latlexent.lex9404.1
accensus,urn:cite:perseus:latlexent.lex9407.1
accensus,urn:cite:perseus:latlexent.lex9408.1
actus,urn:cite:perseus:latlexent.lex9644.1
ad,urn:cite:perseus:latlexent.lex9671.1
adamplio,urn:cite:perseus:latlexent.lex9697.1
adjutor,urn:cite:perseus:latlexent.lex9912.1
adnato,urn:cite:perseus:latlexent.lex10019.1
adnepos,urn:cite:perseus:latlexent.lex10023.1
advocatio,urn:cite:perseus:latlexent.lex10256.1
advocatus,urn:cite:perseus:latlexent.lex10258.1
advocatus,urn:cite:perseus:latlexent.lex10259.1
advoco,urn:cite:perseus:latlexent.lex10260.1
aedes,urn:cite:perseus:latlexent.lex10272.1
aedilis,urn:cite:perseus:latlexent.lex10286.1
aer,urn:cite:perseus:latlexent.lex10403.1
aetas,urn:cite:perseus:latlexent.lex10471.1
ager,urn:cite:perseus:latlexent.lex10577.1
ago,urn:cite:perseus:latlexent.lex10647.1
alimentum,urn:cite:perseus:latlexent.lex10800.1
allectus,urn:cite:perseus:latlexent.lex10872.1
alo,urn:cite:perseus:latlexent.lex10927.1
altar,urn:cite:perseus:latlexent.lex10945.1
altarium,urn:cite:perseus:latlexent.lex10947.1
alto,urn:cite:perseus:latlexent.lex10989.1
altum,urn:cite:perseus:latlexent.lex10994.1
altus,urn:cite:perseus:latlexent.lex10996.1
alumnus,urn:cite:perseus:latlexent.lex11008.1
alveus,urn:cite:perseus:latlexent.lex11017.1
amo,urn:cite:perseus:latlexent.lex11179.1
amplio,urn:cite:perseus:latlexent.lex11240.1
an,urn:cite:perseus:latlexent.lex11277.1
anathema,urn:cite:perseus:latlexent.lex11319.1
anathema,urn:cite:perseus:latlexent.lex11320.1
angelicus,urn:cite:perseus:latlexent.lex11381.1
angelus,urn:cite:perseus:latlexent.lex11384.1
anima,urn:cite:perseus:latlexent.lex11432.1
animus,urn:cite:perseus:latlexent.lex11457.1
anno,urn:cite:perseus:latlexent.lex11483.1
anno,urn:cite:perseus:latlexent.lex11484.1
annus,urn:cite:perseus:latlexent.lex11511.1
antes,urn:cite:perseus:latlexent.lex11601.1
anthus,urn:cite:perseus:latlexent.lex11633.1
anus,urn:cite:perseus:latlexent.lex11697.1
anus,urn:cite:perseus:latlexent.lex11698.1
aperio,urn:cite:perseus:latlexent.lex11720.1
arcus,urn:cite:perseus:latlexent.lex12125.1
argentarium,urn:cite:perseus:latlexent.lex12165.1
argentarius,urn:cite:perseus:latlexent.lex12166.1
argentarius,urn:cite:perseus:latlexent.lex12167.1
arma,urn:cite:perseus:latlexent.lex12232.1
armo,urn:cite:perseus:latlexent.lex12261.1
armus,urn:cite:perseus:latlexent.lex12264.1
arx,urn:cite:perseus:latlexent.lex12377.1
asclepias,urn:cite:perseus:latlexent.lex12409.1
au,urn:cite:perseus:latlexent.lex12799.1
augeo,urn:cite:perseus:latlexent.lex12863.1
augur,urn:cite:perseus:latlexent.lex12871.1
augurium,urn:cite:perseus:latlexent.lex12882.1
auguro,urn:cite:perseus:latlexent.lex12885.1
auguror,urn:cite:perseus:latlexent.lex12886.1
augusto,urn:cite:perseus:latlexent.lex12889.1
augustus,urn:cite:perseus:latlexent.lex12890.1
avitium,urn:cite:perseus:latlexent.lex13067.1
avitus,urn:cite:perseus:latlexent.lex13068.1
basilium,urn:cite:perseus:latlexent.lex13262.1
bellus,urn:cite:perseus:latlexent.lex13343.1
bene,urn:cite:perseus:latlexent.lex13357.1
beneficium,urn:cite:perseus:latlexent.lex13371.1
benus,urn:cite:perseus:latlexent.lex13387.1
bios,urn:cite:perseus:latlexent.lex13515.1
bis,urn:cite:perseus:latlexent.lex13541.1
boarius,urn:cite:perseus:latlexent.lex13622.1
bolus,urn:cite:perseus:latlexent.lex13637.1
bonus,urn:cite:perseus:latlexent.lex13657.1
bovarius,urn:cite:perseus:latlexent.lex13690.1
caedo,urn:cite:perseus:latlexent.lex13973.1
caelestis,urn:cite:perseus:latlexent.lex13982.1
caesus,urn:cite:perseus:latlexent.lex14043.1
caesus,urn:cite:perseus:latlexent.lex14044.1
canis,urn:cite:perseus:latlexent.lex14341.1
caput,urn:cite:perseus:latlexent.lex14522.1
cardinalis,urn:cite:perseus:latlexent.lex14557.1
careo,urn:cite:perseus:latlexent.lex14569.1
caro,urn:cite:perseus:latlexent.lex14611.1
caros,urn:cite:perseus:latlexent.lex14615.1
carus,urn:cite:perseus:latlexent.lex14651.1
casia,urn:cite:perseus:latlexent.lex14667.1
castra,urn:cite:perseus:latlexent.lex14716.1
castrensis,urn:cite:perseus:latlexent.lex14725.1
castro,urn:cite:perseus:latlexent.lex14726.1
castrum,urn:cite:perseus:latlexent.lex14727.1
celsus,urn:cite:perseus:latlexent.lex14994.1
centuria,urn:cite:perseus:latlexent.lex15072.1
centurio,urn:cite:perseus:latlexent.lex15079.1
cerdo,urn:cite:perseus:latlexent.lex15132.1
ceterum,urn:cite:perseus:latlexent.lex15236.1
ceterus,urn:cite:perseus:latlexent.lex15238.1
chara,urn:cite:perseus:latlexent.lex15305.1
cichorium,urn:cite:perseus:latlexent.lex15473.1
cieo,urn:cite:perseus:latlexent.lex15485.1
circaea,urn:cite:perseus:latlexent.lex15551.1
circaeum,urn:cite:perseus:latlexent.lex15552.1
cis,urn:cite:perseus:latlexent.lex15851.1
civilis,urn:cite:perseus:latlexent.lex15911.1
civis,urn:cite:perseus:latlexent.lex15914.1
civitas,urn:cite:perseus:latlexent.lex15915.1
clarus,urn:cite:perseus:latlexent.lex15956.1
classis,urn:cite:perseus:latlexent.lex15961.1
claudo,urn:cite:perseus:latlexent.lex15971.1
claudo,urn:cite:perseus:latlexent.lex15972.1
claudus,urn:cite:perseus:latlexent.lex15974.1
clemens,urn:cite:perseus:latlexent.lex16003.1
clericus,urn:cite:perseus:latlexent.lex16013.1
cloaca,urn:cite:perseus:latlexent.lex16046.1
cognosco,urn:cite:perseus:latlexent.lex16305.1
cohors,urn:cite:perseus:latlexent.lex16325.1
collabor,urn:cite:perseus:latlexent.lex16372.1
collegium,urn:cite:perseus:latlexent.lex16419.1
colo,urn:cite:perseus:latlexent.lex16497.1
colonia,urn:cite:perseus:latlexent.lex16510.1
comitio,urn:cite:perseus:latlexent.lex16631.1
comitium,urn:cite:perseus:latlexent.lex16632.1
commodum,urn:cite:perseus:latlexent.lex16775.1
commodus,urn:cite:perseus:latlexent.lex16777.1
communio,urn:cite:perseus:latlexent.lex16823.1
comparo,urn:cite:perseus:latlexent.lex16882.1
comparo,urn:cite:perseus:latlexent.lex16883.1
concordia,urn:cite:perseus:latlexent.lex17248.1
concubina,urn:cite:perseus:latlexent.lex17284.1
conjugium,urn:cite:perseus:latlexent.lex17733.1
conjunx,urn:cite:perseus:latlexent.lex17745.1
consecro,urn:cite:perseus:latlexent.lex17874.1
conspicio,urn:cite:perseus:latlexent.lex18017.1
consul,urn:cite:perseus:latlexent.lex18103.1
consulo,urn:cite:perseus:latlexent.lex18109.1
consulto,urn:cite:perseus:latlexent.lex18115.1
consultum,urn:cite:perseus:latlexent.lex18120.1
consultus,urn:cite:perseus:latlexent.lex18121.1
consum,urn:cite:perseus:latlexent.lex18123.1
consumo,urn:cite:perseus:latlexent.lex18129.1
contingo,urn:cite:perseus:latlexent.lex18255.1
contingo,urn:cite:perseus:latlexent.lex18256.1
contra,urn:cite:perseus:latlexent.lex18288.1
contubernalis,urn:cite:perseus:latlexent.lex18350.1
corpus,urn:cite:perseus:latlexent.lex18662.1
corrigo,urn:cite:perseus:latlexent.lex18685.1
corrumpo,urn:cite:perseus:latlexent.lex18703.1
corruptus,urn:cite:perseus:latlexent.lex18714.1
crassus,urn:cite:perseus:latlexent.lex18830.1
cresco,urn:cite:perseus:latlexent.lex18909.1
crustulum,urn:cite:perseus:latlexent.lex19051.1
crux,urn:cite:perseus:latlexent.lex19053.1
crypta,urn:cite:perseus:latlexent.lex19054.1
cubitum,urn:cite:perseus:latlexent.lex19080.1
cubitus,urn:cite:perseus:latlexent.lex19082.1
cubo,urn:cite:perseus:latlexent.lex19084.1
cujus,urn:cite:perseus:latlexent.lex19121.1
cujus,urn:cite:perseus:latlexent.lex19122.1
cultellus,urn:cite:perseus:latlexent.lex19163.1
cur,urn:cite:perseus:latlexent.lex19272.1
cura,urn:cite:perseus:latlexent.lex19273.1
curator,urn:cite:perseus:latlexent.lex19281.1
curatorius,urn:cite:perseus:latlexent.lex19284.1
curo,urn:cite:perseus:latlexent.lex19306.1
de,urn:cite:perseus:latlexent.lex19511.1
decedo,urn:cite:perseus:latlexent.lex19581.1
decerno,urn:cite:perseus:latlexent.lex19617.1
decet,urn:cite:perseus:latlexent.lex19627.1
decretum,urn:cite:perseus:latlexent.lex19710.1
decurio,urn:cite:perseus:latlexent.lex19733.1
dedico,urn:cite:perseus:latlexent.lex19770.1
dedo,urn:cite:perseus:latlexent.lex19780.1
deeo,urn:cite:perseus:latlexent.lex19799.1
delego,urn:cite:perseus:latlexent.lex20036.1
designo,urn:cite:perseus:latlexent.lex20537.1
deus,urn:cite:perseus:latlexent.lex20737.1
diadumenus,urn:cite:perseus:latlexent.lex20855.1
dico,urn:cite:perseus:latlexent.lex20960.1
dico,urn:cite:perseus:latlexent.lex20961.1
dies,urn:cite:perseus:latlexent.lex20998.1
dimitto,urn:cite:perseus:latlexent.lex21189.1
dius,urn:cite:perseus:latlexent.lex21683.1
diva,urn:cite:perseus:latlexent.lex21693.1
dives,urn:cite:perseus:latlexent.lex21716.1
divinitas,urn:cite:perseus:latlexent.lex21732.1
divus,urn:cite:perseus:latlexent.lex21759.1
do,urn:cite:perseus:latlexent.lex21761.1
dominus,urn:cite:perseus:latlexent.lex21857.1
domus,urn:cite:perseus:latlexent.lex21876.1
dono,urn:cite:perseus:latlexent.lex21890.1
donum,urn:cite:perseus:latlexent.lex21891.1
duo,urn:cite:perseus:latlexent.lex22042.1
durius,urn:cite:perseus:latlexent.lex22114.1
durus,urn:cite:perseus:latlexent.lex22118.1
eadem,urn:cite:perseus:latlexent.lex22149.1
edo,urn:cite:perseus:latlexent.lex22274.1
edo,urn:cite:perseus:latlexent.lex22275.1
effero,urn:cite:perseus:latlexent.lex22329.1
ego,urn:cite:perseus:latlexent.lex22435.1
ei,urn:cite:perseus:latlexent.lex22450.1
electo,urn:cite:perseus:latlexent.lex22529.1
electo,urn:cite:perseus:latlexent.lex22530.1
eligo,urn:cite:perseus:latlexent.lex22580.1
em,urn:cite:perseus:latlexent.lex22656.1
en,urn:cite:perseus:latlexent.lex22812.1
eo,urn:cite:perseus:latlexent.lex22947.1
eo,urn:cite:perseus:latlexent.lex22948.1
equester,urn:cite:perseus:latlexent.lex23101.1
equus,urn:cite:perseus:latlexent.lex23123.1
erigo,urn:cite:perseus:latlexent.lex23166.1
et,urn:cite:perseus:latlexent.lex23298.1
evangelista,urn:cite:perseus:latlexent.lex23406.1
ex,urn:cite:perseus:latlexent.lex23489.1
excolo,urn:cite:perseus:latlexent.lex23691.1
exerceo,urn:cite:perseus:latlexent.lex23790.1
exercio,urn:cite:perseus:latlexent.lex23792.1
exercitatio,urn:cite:perseus:latlexent.lex23795.1
exercitus,urn:cite:perseus:latlexent.lex23809.1
exorno,urn:cite:perseus:latlexent.lex23950.1
expedio,urn:cite:perseus:latlexent.lex23996.1
expeditio,urn:cite:perseus:latlexent.lex23998.1
expeditus,urn:cite:perseus:latlexent.lex24000.1
expiatus,urn:cite:perseus:latlexent.lex24041.1
expio,urn:cite:perseus:latlexent.lex24049.1
exsto,urn:cite:perseus:latlexent.lex24279.1
exta,urn:cite:perseus:latlexent.lex24322.1
faber,urn:cite:perseus:latlexent.lex24479.1
faber,urn:cite:perseus:latlexent.lex24481.1
facio,urn:cite:perseus:latlexent.lex24529.1
factio,urn:cite:perseus:latlexent.lex24534.1
factum,urn:cite:perseus:latlexent.lex24546.1
factus,urn:cite:perseus:latlexent.lex24550.1
fama,urn:cite:perseus:latlexent.lex24642.1
familia,urn:cite:perseus:latlexent.lex24661.1
felicito,urn:cite:perseus:latlexent.lex24871.1
felix,urn:cite:perseus:latlexent.lex24877.1
femina,urn:cite:perseus:latlexent.lex24892.1
femino,urn:cite:perseus:latlexent.lex24899.1
fero,urn:cite:perseus:latlexent.lex24946.1
fictor,urn:cite:perseus:latlexent.lex25069.1
fidelis,urn:cite:perseus:latlexent.lex25089.1
fides,urn:cite:perseus:latlexent.lex25097.1
fides,urn:cite:perseus:latlexent.lex25098.1
filia,urn:cite:perseus:latlexent.lex25139.1
filius,urn:cite:perseus:latlexent.lex25151.1
filix,urn:cite:perseus:latlexent.lex25152.1
filum,urn:cite:perseus:latlexent.lex25153.1
fio,urn:cite:perseus:latlexent.lex25174.1
flamen,urn:cite:perseus:latlexent.lex25251.1
flamen,urn:cite:perseus:latlexent.lex25252.1
flaminium,urn:cite:perseus:latlexent.lex25259.1
flaminius,urn:cite:perseus:latlexent.lex25260.1
flo,urn:cite:perseus:latlexent.lex25328.1
floreo,urn:cite:perseus:latlexent.lex25335.1
for,urn:cite:perseus:latlexent.lex25480.1
forensis,urn:cite:perseus:latlexent.lex25496.1
fores,urn:cite:perseus:latlexent.lex25497.1
fori,urn:cite:perseus:latlexent.lex25500.1
forio,urn:cite:perseus:latlexent.lex25507.1
foris,urn:cite:perseus:latlexent.lex25509.1
foris,urn:cite:perseus:latlexent.lex25510.1
fortis,urn:cite:perseus:latlexent.lex25581.1
fortuno,urn:cite:perseus:latlexent.lex25592.1
forum,urn:cite:perseus:latlexent.lex25594.1
forus,urn:cite:perseus:latlexent.lex25595.1
forus,urn:cite:perseus:latlexent.lex25596.1
frater,urn:cite:perseus:latlexent.lex25647.1
fronto,urn:cite:perseus:latlexent.lex25787.1
frumentum,urn:cite:perseus:latlexent.lex25821.1
frustra,urn:cite:perseus:latlexent.lex25832.1
frustro,urn:cite:perseus:latlexent.lex25839.1
fungor,urn:cite:perseus:latlexent.lex25997.1
galla,urn:cite:perseus:latlexent.lex26145.1
gallica,urn:cite:perseus:latlexent.lex26149.1
gemino,urn:cite:perseus:latlexent.lex26244.1
geminus,urn:cite:perseus:latlexent.lex26245.1
genetrix,urn:cite:perseus:latlexent.lex26288.1
genius,urn:cite:perseus:latlexent.lex26313.1
gero,urn:cite:perseus:latlexent.lex26356.1
gratulatio,urn:cite:perseus:latlexent.lex26685.1
gratus,urn:cite:perseus:latlexent.lex26690.1
haedus,urn:cite:perseus:latlexent.lex26865.1
heres,urn:cite:perseus:latlexent.lex27175.1
hic,urn:cite:perseus:latlexent.lex27244.1
